D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,2242,0.715732502,0.033317463,0.046550161,-0.013232698,0
1000,2243,0.722035466,0.016197204,0.022432698,-0.006235494,0
1000,2244,0.658976,0.057001137,0.086499564,-0.029498427,0
1000,2245,0.800471087,0.001506039,0.001881441,-0.000375402,0.000154325
1000,2246,0.722518016,0.003415307,0.004726951,-0.001311644,0
1000,2247,0.700484293,0.011125254,0.015882232,-0.004756978,0
1000,2249,0.65932412,0.00040323,0.00061158,-0.000208351,0.000228679
1000,2252,0.794288327,0.004644429,0.005847284,-0.001202854,5.60E-12
1000,2253,1.178336391,0.000748161,0.00063493,0.000113231,0.053039903
1000,2255,0.866812359,0.002783743,0.003211471,-0.000427728,0.000978111
1000,2256,0.690591734,0.000991071,0.001435104,-0.000444033,2.91E-07
1000,2258,0.658896438,0.000335215,0.000508752,-0.000173537,0.000765223
1000,2259,0.603488721,0.007476754,0.012389218,-0.004912465,0
1000,2261,0.644253013,0.096439919,0.149692616,-0.053252697,0
1000,2262,0.652746335,0.002526259,0.0038702,-0.001343941,0
1000,2264,0.802152062,0.000995929,0.001241571,-0.000245642,0.00231041
1000,2265,0.774538343,0.03225352,0.041642251,-0.009388731,0
1000,2266,0.672238398,0.019763115,0.029398967,-0.009635853,0
1000,2267,0.766457561,0.003016936,0.003936207,-0.000919271,1.41E-10
1000,2268,0.790942084,0.001316569,0.001664559,-0.000347989,0.000191837
1000,2270,0.81015932,0.005509187,0.006800128,-0.001290941,7.02E-12
1000,2271,0.758059354,0.004406378,0.005812708,-0.00140633,6.66E-16
1000,2272,0.694987862,0.001078518,0.001551852,-0.000473334,1.46E-07
1000,2273,0.778872087,0.00236108,0.003031409,-0.000670329,9.96E-08
1000,2277,1.086715967,0.001433166,0.001318805,0.000114361,0.173024444
1000,2278,0.790689683,0.000291491,0.000368655,-0.000077163,0.079026844
1000,2293,0.880926841,0.001379726,0.001566221,-0.000186495,0.039785046
1000,2298,0.699294312,0.000257484,0.000368206,-0.000110722,0.011601878
1000,2299,0.999028906,0.00045667,0.000457114,-4.44E-07,0.992807316
1000,2305,0.623471898,0.002681721,0.004301269,-0.001619549,0
1000,2306,0.748172136,0.000621848,0.000831157,-0.000209308,0.001496081
1000,2308,0.757788673,0.223029761,0.294316568,-0.071286807,0
1000,2309,0.729877493,0.171528095,0.235009432,-0.063481337,0
1000,2310,0.722913175,0.048596469,0.067223106,-0.018626637,0
1000,2311,0.71327634,0.068136107,0.095525539,-0.027389432,0
1000,2312,0.626389536,0.007471895,0.011928512,-0.004456617,0
1000,2313,0.740486898,0.303510528,0.409879673,-0.106369145,0
1000,2314,0.656036323,0.137860842,0.210142087,-0.072281245,0
1000,2315,0.729607478,0.010391667,0.014242819,-0.003851152,0
1000,2316,0.658051649,0.028090051,0.042686697,-0.014596646,0
1000,2317,0.882114704,0.000641281,0.000726981,-0.0000857,0.16569114
1000,2318,0.713428807,0.02600103,0.036445164,-0.010444134,0
1000,2319,0.684184677,0.005883267,0.008598947,-0.002715679,0
1000,2320,0.710910893,0.009055665,0.012738116,-0.00368245,0
1000,2321,0.680160286,0.003288994,0.004835616,-0.001546622,0
1000,2322,0.787003658,0.027312741,0.034704719,-0.007391978,0
